Open time,Close
2024-08-19 00:00:00+00:00,4.939e-05
2024-08-19 01:00:00+00:00,4.952e-05
2024-08-19 02:00:00+00:00,4.948e-05
2024-08-19 03:00:00+00:00,4.898e-05
2024-08-19 04:00:00+00:00,4.863e-05
2024-08-19 05:00:00+00:00,4.883e-05
2024-08-19 06:00:00+00:00,4.834e-05
2024-08-19 07:00:00+00:00,4.775e-05
2024-08-19 08:00:00+00:00,4.818e-05
2024-08-19 09:00:00+00:00,4.793e-05
2024-08-19 10:00:00+00:00,4.784e-05
2024-08-19 11:00:00+00:00,4.786e-05
2024-08-19 12:00:00+00:00,4.814e-05
2024-08-19 13:00:00+00:00,4.816e-05
2024-08-19 14:00:00+00:00,4.812e-05
2024-08-19 15:00:00+00:00,4.803e-05
2024-08-19 16:00:00+00:00,4.788e-05
2024-08-19 17:00:00+00:00,4.832e-05
2024-08-19 18:00:00+00:00,4.856e-05
2024-08-19 19:00:00+00:00,4.866e-05
2024-08-19 20:00:00+00:00,4.865e-05
2024-08-19 21:00:00+00:00,4.903e-05
2024-08-19 22:00:00+00:00,4.871e-05
2024-08-19 23:00:00+00:00,4.841e-05
2024-08-20 00:00:00+00:00,4.788e-05
2024-08-20 01:00:00+00:00,4.74e-05
2024-08-20 02:00:00+00:00,4.715e-05
2024-08-20 03:00:00+00:00,4.702e-05
2024-08-20 04:00:00+00:00,4.689e-05
2024-08-20 05:00:00+00:00,4.77e-05
2024-08-20 06:00:00+00:00,4.751e-05
2024-08-20 07:00:00+00:00,4.73e-05
2024-08-20 08:00:00+00:00,4.704e-05
2024-08-20 09:00:00+00:00,4.72e-05
2024-08-20 10:00:00+00:00,4.682e-05
2024-08-20 11:00:00+00:00,4.635e-05
2024-08-20 12:00:00+00:00,4.641e-05
2024-08-20 13:00:00+00:00,4.665e-05
2024-08-20 14:00:00+00:00,4.677e-05
2024-08-20 15:00:00+00:00,4.674e-05
2024-08-20 16:00:00+00:00,4.655e-05
2024-08-20 17:00:00+00:00,4.682e-05
2024-08-20 18:00:00+00:00,4.677e-05
2024-08-20 19:00:00+00:00,4.697e-05
2024-08-20 20:00:00+00:00,4.691e-05
2024-08-20 21:00:00+00:00,4.678e-05
2024-08-20 22:00:00+00:00,4.695e-05
2024-08-20 23:00:00+00:00,4.684e-05
2024-08-21 00:00:00+00:00,4.686e-05
2024-08-21 01:00:00+00:00,4.686e-05
2024-08-21 02:00:00+00:00,4.703e-05
2024-08-21 03:00:00+00:00,4.703e-05
2024-08-21 04:00:00+00:00,4.691e-05
2024-08-21 05:00:00+00:00,4.701e-05
2024-08-21 06:00:00+00:00,4.707e-05
2024-08-21 07:00:00+00:00,4.715e-05
2024-08-21 08:00:00+00:00,4.674e-05
2024-08-21 09:00:00+00:00,4.649e-05
2024-08-21 10:00:00+00:00,4.653e-05
2024-08-21 11:00:00+00:00,4.653e-05
2024-08-21 12:00:00+00:00,4.603e-05
2024-08-21 13:00:00+00:00,4.625e-05
2024-08-21 14:00:00+00:00,4.597e-05
2024-08-21 15:00:00+00:00,4.596e-05
2024-08-21 16:00:00+00:00,4.594e-05
2024-08-21 17:00:00+00:00,4.68e-05
